call_id,agent_id,org_id,installment_id,status,duration,created_ts,call_date
C0088,A004,O3,L1338,no_answer,11.33,2025-04-29T03:25:00,29/04/25
C0089,A004,O3,L1143,no_answer,9.77,2025-04-29T11:02:00,29/04/25
C0090,A004,O3,L1376,connected,13.04,2025-04-29T07:29:00,29/04/25
C0091,A004,O3,L1457,completed,6.89,2025-04-29T08:21:00,29/04/25
C0092,A005,O3,L1811,no_answer,4.63,2025-04-29T20:21:00,29/04/25
C0093,A005,O3,L1468,failed,13.84,2025-04-29T02:29:00,29/04/25
C0094,A005,O3,L1165,no_answer,2.2,2025-04-29T18:49:00,29/04/25
C0095,A005,O3,L1036,failed,1.21,2025-04-29T19:52:00,29/04/25
C0096,A005,O3,L1392,connected,3.51,2025-04-29T07:18:00,29/04/25
C0097,A005,O3,L1129,no_answer,3.5,2025-04-29T22:51:00,29/04/25
C0098,A005,O3,L1105,completed,7.39,2025-04-29T19:35:00,29/04/25
C0099,A005,O3,L1448,no_answer,12.28,2025-04-29T04:08:00,29/04/25
C0100,A005,O3,L1955,failed,1.49,2025-04-29T17:22:00,29/04/25
C0101,A005,O3,L1891,connected,13.49,2025-04-29T02:33:00,29/04/25
C0102,A005,O3,L1070,connected,14.5,2025-04-29T20:00:00,29/04/25
C0103,A005,O3,L1639,failed,9.26,2025-04-29T13:00:00,29/04/25
C0104,A005,O3,L1296,failed,4.37,2025-04-29T04:05:00,29/04/25
C0105,A005,O3,L1545,connected,0.55,2025-04-29T17:04:00,29/04/25
C0106,A005,O3,L1105,connected,8.02,2025-04-29T08:44:00,29/04/25
C0107,A005,O3,L1317,no_answer,8.28,2025-04-29T04:24:00,29/04/25
C0108,A005,O3,L1157,connected,6.35,2025-04-29T06:10:00,29/04/25
C0109,A005,O3,L1293,no_answer,6.56,2025-04-29T23:45:00,29/04/25
C0110,A005,O3,L1459,completed,6.04,2025-04-29T02:42:00,29/04/25
C0111,A005,O3,L1035,connected,1.51,2025-04-29T02:17:00,29/04/25
C0112,A005,O3,L1375,no_answer,12.69,2025-04-29T10:43:00,29/04/25
C0113,A005,O3,L1744,failed,4.47,2025-04-29T13:45:00,29/04/25
C0114,A005,O3,L1212,failed,1.35,2025-04-29T22:36:00,29/04/25
C0115,A005,O3,L1043,failed,5.68,2025-04-29T02:41:00,29/04/25
C0116,A005,O3,L1987,connected,5.71,2025-04-29T13:53:00,29/04/25
C0117,A005,O3,L1156,no_answer,3.43,2025-04-29T20:40:00,29/04/25
C0118,A005,O3,L1854,completed,13.53,2025-04-29T00:46:00,29/04/25
C0119,A005,O3,L1193,completed,14.26,2025-04-29T01:05:00,29/04/25
C0120,A005,O3,L1385,connected,14.62,2025-04-29T18:21:00,29/04/25
C0121,A006,O1,L1540,no_answer,8.93,2025-04-29T07:13:00,29/04/25
C0122,A006,O1,L1497,no_answer,3.96,2025-04-29T07:17:00,29/04/25
C0123,A006,O1,L1902,no_answer,12.25,2025-04-29T00:50:00,29/04/25
C0124,A006,O1,L1801,no_answer,10.63,2025-04-29T22:51:00,29/04/25
C0125,A006,O1,L1475,completed,0.57,2025-04-29T19:01:00,29/04/25
C0126,A006,O1,L1796,connected,12.29,2025-04-29T10:37:00,29/04/25
C0127,A006,O1,L1258,no_answer,3.71,2025-04-29T03:53:00,29/04/25
C0128,A006,O1,L1650,no_answer,5.86,2025-04-29T03:06:00,29/04/25
C0129,A006,O1,L1624,no_answer,9.81,2025-04-29T21:09:00,29/04/25
C0130,A006,O1,L1719,failed,11.99,2025-04-29T11:35:00,29/04/25
C0131,A006,O1,L1690,completed,5.7,2025-04-29T09:17:00,29/04/25
C0132,A006,O1,L1712,no_answer,8.83,2025-04-29T21:33:00,29/04/25
C0133,A006,O1,L1064,no_answer,14.11,2025-04-29T01:15:00,29/04/25
C0134,A006,O1,L1530,no_answer,12.24,2025-04-29T19:10:00,29/04/25
C0135,A006,O1,L1089,failed,9.47,2025-04-29T22:47:00,29/04/25
C0136,A006,O1,L1812,failed,11.05,2025-04-29T17:21:00,29/04/25
C0137,A007,O1,L1046,connected,9.02,2025-04-29T09:52:00,29/04/25
C0138,A007,O1,L1099,no_answer,1.56,2025-04-29T12:05:00,29/04/25
C0139,A007,O1,L1593,completed,8.25,2025-04-29T10:42:00,29/04/25
C0140,A007,O1,L1244,failed,9.01,2025-04-29T13:30:00,29/04/25
C0141,A007,O1,L1208,failed,5.42,2025-04-29T17:15:00,29/04/25
C0142,A007,O1,L1682,completed,3.06,2025-04-29T12:04:00,29/04/25
C0143,A007,O1,L1045,no_answer,4.73,2025-04-29T00:03:00,29/04/25
C0144,A007,O1,L1484,connected,8.46,2025-04-29T22:29:00,29/04/25
C0145,A007,O1,L1283,failed,4.25,2025-04-29T03:25:00,29/04/25
C0146,A007,O1,L1232,failed,13.63,2025-04-29T06:07:00,29/04/25
C0147,A007,O1,L1676,completed,9.54,2025-04-29T05:21:00,29/04/25
C0148,A007,O1,L1370,no_answer,3.94,2025-04-29T21:20:00,29/04/25
C0149,A007,O1,L1764,connected,9.53,2025-04-29T02:22:00,29/04/25
C0150,A007,O1,L1585,no_answer,13.32,2025-04-29T07:58:00,29/04/25
C0151,A007,O1,L1805,failed,13.39,2025-04-29T18:07:00,29/04/25
C0152,A007,O1,L1336,connected,14.46,2025-04-29T20:20:00,29/04/25
C0153,A007,O1,L1616,connected,8.16,2025-04-29T22:22:00,29/04/25
C0154,A007,O1,L1710,no_answer,1.86,2025-04-29T06:49:00,29/04/25
C0155,A007,O1,L1411,completed,1.46,2025-04-29T01:32:00,29/04/25
C0156,A007,O1,L1324,no_answer,1.31,2025-04-29T11:54:00,29/04/25
C0157,A007,O1,L1847,failed,12.21,2025-04-29T19:11:00,29/04/25
C0158,A007,O1,L1696,completed,0.28,2025-04-29T17:56:00,29/04/25
C0159,A007,O1,L1046,no_answer,7.89,2025-04-29T11:45:00,29/04/25
C0160,A007,O1,L1143,failed,4.23,2025-04-29T07:59:00,29/04/25
C0161,A008,O1,L1065,failed,2.64,2025-04-29T00:43:00,29/04/25
C0162,A008,O1,L1194,no_answer,1.92,2025-04-29T04:47:00,29/04/25
C0163,A008,O1,L1163,completed,10.96,2025-04-29T13:03:00,29/04/25
C0164,A008,O1,L1230,connected,7.46,2025-04-29T05:01:00,29/04/25
C0165,A008,O1,L1467,connected,9.58,2025-04-29T15:51:00,29/04/25
C0166,A008,O1,L1446,no_answer,9.54,2025-04-29T00:59:00,29/04/25
C0167,A008,O1,L1799,completed,4.84,2025-04-29T01:03:00,29/04/25
C0168,A008,O1,L1859,completed,1.74,2025-04-29T21:12:00,29/04/25
C0169,A008,O1,L1500,connected,7.51,2025-04-29T23:34:00,29/04/25
C0170,A008,O1,L1571,no_answer,3.64,2025-04-29T20:41:00,29/04/25
C0171,A008,O1,L1565,completed,8.08,2025-04-29T05:20:00,29/04/25
C0172,A008,O1,L1930,failed,0.71,2025-04-29T04:51:00,29/04/25
C0173,A008,O1,L1472,completed,3.7,2025-04-29T22:06:00,29/04/25
C0174,A008,O1,L1564,connected,13.52,2025-04-29T13:05:00,29/04/25
C0175,A008,O1,L1421,connected,10.41,2025-04-29T05:48:00,29/04/25
C0176,A008,O1,L1934,connected,3.44,2025-04-29T07:55:00,29/04/25
C0177,A008,O1,L1224,connected,5.58,2025-04-29T21:11:00,29/04/25
C0178,A008,O1,L1025,failed,10.86,2025-04-29T20:49:00,29/04/25
C0179,A008,O1,L1650,no_answer,4.28,2025-04-29T23:55:00,29/04/25
C0180,A008,O1,L1138,no_answer,2.74,2025-04-29T15:29:00,29/04/25
C0181,A008,O1,L1101,failed,5.62,2025-04-29T18:35:00,29/04/25
C0182,A008,O1,L1905,failed,1.56,2025-04-29T00:54:00,29/04/25
C0183,A008,O1,L1124,completed,0.78,2025-04-29T08:08:00,29/04/25
C0184,A008,O1,L1790,failed,9.67,2025-04-29T04:33:00,29/04/25
C0185,A008,O1,L1370,no_answer,10.28,2025-04-29T19:21:00,29/04/25
C0186,A008,O1,L1205,connected,12.07,2025-04-29T08:04:00,29/04/25
C0187,A008,O1,L1586,completed,11.45,2025-04-29T06:30:00,29/04/25
C0188,A008,O1,L1267,no_answer,11.22,2025-04-29T08:02:00,29/04/25
C0189,A008,O1,L1683,completed,5.69,2025-04-29T15:53:00,29/04/25
C0190,A009,O3,L1650,failed,2.42,2025-04-29T05:33:00,29/04/25
C0191,A009,O3,L1696,completed,6.54,2025-04-29T23:16:00,29/04/25
C0192,A009,O3,L1780,connected,2.18,2025-04-29T17:19:00,29/04/25
C0193,A009,O3,L1594,failed,9.39,2025-04-29T01:18:00,29/04/25
C0194,A009,O3,L1496,connected,3.81,2025-04-29T09:22:00,29/04/25
C0195,A009,O3,L1327,completed,11.36,2025-04-29T04:43:00,29/04/25
C0196,A009,O3,L1793,no_answer,4.92,2025-04-29T15:52:00,29/04/25
C0197,A009,O3,L1249,no_answer,10.57,2025-04-29T19:27:00,29/04/25
C0198,A009,O3,L1286,failed,14.44,2025-04-29T18:58:00,29/04/25
C0199,A009,O3,L1093,connected,9.71,2025-04-29T23:00:00,29/04/25
C0200,A009,O3,L1854,no_answer,13.47,2025-04-29T16:07:00,29/04/25
C0201,A009,O3,L1348,failed,5.15,2025-04-29T00:05:00,29/04/25
C0202,A009,O3,L1865,failed,9.78,2025-04-29T06:47:00,29/04/25
C0203,A009,O3,L1643,completed,4.05,2025-04-29T21:25:00,29/04/25
C0204,A009,O3,L1126,no_answer,7.44,2025-04-29T12:34:00,29/04/25
C0205,A009,O3,L1842,failed,3.01,2025-04-29T03:41:00,29/04/25
C0206,A009,O3,L1976,connected,10.49,2025-04-29T23:26:00,29/04/25
C0207,A009,O3,L1826,no_answer,7.72,2025-04-29T19:08:00,29/04/25
C0208,A009,O3,L1773,completed,8.72,2025-04-29T11:46:00,29/04/25
C0209,A009,O3,L1341,completed,3.83,2025-04-29T19:53:00,29/04/25
C0210,A009,O3,L1365,completed,1.15,2025-04-29T11:46:00,29/04/25
C0211,A009,O3,L1983,completed,0.45,2025-04-29T00:53:00,29/04/25
C0212,A009,O3,L1650,failed,13.97,2025-04-29T04:16:00,29/04/25
C0213,A009,O3,L1196,connected,12.35,2025-04-29T09:31:00,29/04/25
C0214,A009,O3,L1111,connected,14.21,2025-04-29T08:16:00,29/04/25
C0215,A009,O3,L1014,failed,0.94,2025-04-29T10:04:00,29/04/25
C0216,A010,O3,L1161,no_answer,9.22,2025-04-29T00:06:00,29/04/25
C0217,A010,O3,L1059,connected,11.8,2025-04-29T19:21:00,29/04/25
C0218,A010,O3,L1448,failed,4.95,2025-04-29T20:52:00,29/04/25
C0219,A010,O3,L1920,completed,11.61,2025-04-29T12:12:00,29/04/25
C0220,A010,O3,L1334,no_answer,13.32,2025-04-29T23:47:00,29/04/25
C0221,A010,O3,L1196,no_answer,7.14,2025-04-29T22:41:00,29/04/25
C0222,A010,O3,L1414,connected,4.34,2025-04-29T10:27:00,29/04/25
C0223,A010,O3,L1236,completed,7.59,2025-04-29T06:34:00,29/04/25
C0224,A010,O3,L1725,connected,3.67,2025-04-29T09:21:00,29/04/25
C0225,A010,O3,L1490,no_answer,14.79,2025-04-29T11:37:00,29/04/25
C0226,A010,O3,L1965,failed,0.35,2025-04-29T17:04:00,29/04/25
C0227,A010,O3,L1857,no_answer,5.3,2025-04-29T05:04:00,29/04/25
C0228,A010,O3,L1764,completed,9.99,2025-04-29T14:48:00,29/04/25
C0229,A010,O3,L1047,failed,2.5,2025-04-29T01:54:00,29/04/25
C0230,A010,O3,L1383,no_answer,8.28,2025-04-29T04:58:00,29/04/25
C0231,A010,O3,L1849,no_answer,8.57,2025-04-29T09:22:00,29/04/25
C0232,A010,O3,L1765,no_answer,5.96,2025-04-29T05:59:00,29/04/25
C0233,A010,O3,L1119,connected,0.46,2025-04-29T01:32:00,29/04/25
C0234,A010,O3,L1360,completed,12.17,2025-04-29T19:43:00,29/04/25
C0235,A010,O3,L1225,no_answer,7.04,2025-04-29T20:27:00,29/04/25
C0236,A010,O3,L1226,failed,9.38,2025-04-29T05:44:00,29/04/25
C0237,A010,O3,L1660,completed,4.14,2025-04-29T20:59:00,29/04/25
C0238,A010,O3,L1973,connected,14.33,2025-04-29T11:39:00,29/04/25
C0239,A010,O3,L1001,failed,7.6,2025-04-29T08:12:00,29/04/25
C0240,A010,O3,L1044,connected,8.67,2025-04-29T01:25:00,29/04/25
C0241,A010,O3,L1105,completed,13.59,2025-04-29T11:11:00,29/04/25
C0242,A010,O3,L1456,no_answer,3.02,2025-04-29T05:41:00,29/04/25
C0243,A010,O3,L1734,no_answer,11.28,2025-04-29T17:56:00,29/04/25
C0244,A010,O3,L1095,connected,12.89,2025-04-29T20:12:00,29/04/25
C0245,A010,O3,L1250,no_answer,13.55,2025-04-29T10:09:00,29/04/25
C0246,A010,O3,L1519,no_answer,6.68,2025-04-29T19:12:00,29/04/25
C0247,A010,O3,L1835,completed,13.33,2025-04-29T12:34:00,29/04/25
C0248,A010,O3,L1656,no_answer,7.44,2025-04-29T04:34:00,29/04/25
C0249,A010,O3,L1415,failed,4.36,2025-04-29T23:33:00,29/04/25
C0250,A010,O3,L1405,failed,14.54,2025-04-29T00:06:00,29/04/25
C0251,A010,O3,L1689,no_answer,0.78,2025-04-29T18:09:00,29/04/25
C0252,A010,O3,L1676,connected,7.01,2025-04-29T14:06:00,29/04/25
C0253,A010,O3,L1062,connected,5.36,2025-04-29T21:22:00,29/04/25
C0254,A011,O1,L1234,completed,10.65,2025-04-29T10:46:00,29/04/25
C0255,A011,O1,L1671,no_answer,14.55,2025-04-29T13:30:00,29/04/25
C0256,A011,O1,L1019,completed,6.9,2025-04-29T12:23:00,29/04/25
C0257,A011,O1,L1526,connected,14.49,2025-04-29T09:30:00,29/04/25
C0258,A011,O1,L1737,failed,9.6,2025-04-29T17:18:00,29/04/25
C0259,A011,O1,L1465,failed,8.14,2025-04-29T11:31:00,29/04/25
C0260,A011,O1,L1499,connected,14.58,2025-04-29T12:06:00,29/04/25
C0261,A011,O1,L1760,connected,0.87,2025-04-29T06:32:00,29/04/25
C0262,A011,O1,L1993,no_answer,13.88,2025-04-29T17:33:00,29/04/25
C0263,A011,O1,L1378,failed,13.36,2025-04-29T11:04:00,29/04/25
C0264,A011,O1,L1820,no_answer,7.88,2025-04-29T23:32:00,29/04/25
C0265,A011,O1,L1450,completed,14.64,2025-04-29T16:00:00,29/04/25
C0266,A011,O1,L1571,no_answer,2.43,2025-04-29T09:41:00,29/04/25
C0267,A011,O1,L1686,completed,9.94,2025-04-29T22:03:00,29/04/25
C0268,A011,O1,L1859,failed,2.68,2025-04-29T04:59:00,29/04/25
C0269,A011,O1,L1527,no_answer,5.88,2025-04-29T18:32:00,29/04/25
C0270,A011,O1,L1460,no_answer,14.86,2025-04-29T23:12:00,29/04/25
C0271,A011,O1,L1354,failed,5.18,2025-04-29T02:41:00,29/04/25
C0272,A011,O1,L1320,failed,4.87,2025-04-29T11:47:00,29/04/25
C0273,A011,O1,L1426,failed,5.33,2025-04-29T23:29:00,29/04/25
C0274,A011,O1,L1661,completed,11.68,2025-04-29T03:03:00,29/04/25
C0275,A011,O1,L1748,no_answer,7.08,2025-04-29T22:07:00,29/04/25
C0276,A012,O3,L1214,failed,0.97,2025-04-29T23:57:00,29/04/25
C0277,A012,O3,L1552,completed,5.56,2025-04-29T20:26:00,29/04/25
C0278,A012,O3,L1921,no_answer,9.15,2025-04-29T04:07:00,29/04/25
C0279,A012,O3,L1900,connected,0.77,2025-04-29T12:36:00,29/04/25
C0280,A012,O3,L1840,connected,1.2,2025-04-29T07:36:00,29/04/25
C0281,A012,O3,L1429,connected,14.11,2025-04-29T14:09:00,29/04/25
C0282,A012,O3,L1407,failed,0.33,2025-04-29T06:29:00,29/04/25
C0283,A012,O3,L1185,connected,9.78,2025-04-29T19:19:00,29/04/25
C0284,A012,O3,L1447,completed,11.57,2025-04-29T08:18:00,29/04/25
C0285,A012,O3,L1396,no_answer,6.19,2025-04-29T11:32:00,29/04/25
C0286,A012,O3,L1472,failed,1.83,2025-04-29T13:02:00,29/04/25
C0287,A012,O3,L1976,completed,9.91,2025-04-29T13:19:00,29/04/25
C0288,A012,O3,L1886,failed,6.93,2025-04-29T09:19:00,29/04/25
C0289,A012,O3,L1781,completed,4.85,2025-04-29T19:35:00,29/04/25
C0290,A012,O3,L1563,failed,13.17,2025-04-29T10:14:00,29/04/25
C0291,A012,O3,L1410,completed,5,2025-04-29T19:27:00,29/04/25
C0292,A012,O3,L1571,failed,11.87,2025-04-29T04:55:00,29/04/25
C0293,A012,O3,L1671,failed,5.62,2025-04-29T16:21:00,29/04/25
C0294,A012,O3,L1718,no_answer,14.45,2025-04-29T18:20:00,29/04/25
C0295,A012,O3,L1182,no_answer,8.81,2025-04-29T18:03:00,29/04/25
C0296,A013,O1,L1067,connected,0.41,2025-04-29T19:21:00,29/04/25
C0297,A013,O1,L1224,connected,2.81,2025-04-29T17:23:00,29/04/25
C0298,A013,O1,L1168,no_answer,9.97,2025-04-29T00:04:00,29/04/25
C0299,A013,O1,L1948,no_answer,4.74,2025-04-29T09:44:00,29/04/25
C0300,A013,O1,L1630,failed,1.88,2025-04-29T13:51:00,29/04/25
C0301,A013,O1,L1409,connected,0.48,2025-04-29T05:02:00,29/04/25
C0302,A013,O1,L1877,no_answer,2.5,2025-04-29T16:16:00,29/04/25
C0303,A013,O1,L1684,no_answer,13.08,2025-04-29T05:38:00,29/04/25
C0304,A013,O1,L1770,no_answer,12.13,2025-04-29T08:36:00,29/04/25
C0305,A013,O1,L1964,connected,0.2,2025-04-29T02:35:00,29/04/25
C0306,A013,O1,L1507,completed,9.67,2025-04-29T04:18:00,29/04/25
C0307,A013,O1,L1109,connected,12.75,2025-04-29T13:01:00,29/04/25
C0308,A013,O1,L1092,no_answer,8.7,2025-04-29T00:29:00,29/04/25
C0309,A013,O1,L1145,completed,10.56,2025-04-29T03:07:00,29/04/25
C0310,A013,O1,L1383,connected,7.15,2025-04-29T00:57:00,29/04/25
C0311,A013,O1,L1997,connected,14.13,2025-04-29T16:56:00,29/04/25
C0312,A013,O1,L1525,connected,0.37,2025-04-29T01:03:00,29/04/25
C0313,A013,O1,L1778,failed,13.44,2025-04-29T17:34:00,29/04/25
C0314,A013,O1,L1461,failed,11.31,2025-04-29T21:16:00,29/04/25
C0315,A013,O1,L1082,connected,9.45,2025-04-29T22:18:00,29/04/25
C0316,A013,O1,L1253,no_answer,4.29,2025-04-29T11:48:00,29/04/25
C0317,A013,O1,L1326,no_answer,1.26,2025-04-29T13:56:00,29/04/25
C0318,A014,O3,L1478,completed,10.3,2025-04-29T22:59:00,29/04/25
C0319,A014,O3,L1285,no_answer,7.48,2025-04-29T08:31:00,29/04/25
C0320,A014,O3,L1158,connected,7.85,2025-04-29T10:07:00,29/04/25
C0321,A014,O3,L1045,completed,8.19,2025-04-29T11:23:00,29/04/25
C0322,A014,O3,L1114,completed,12.05,2025-04-29T23:35:00,29/04/25
C0323,A014,O3,L1971,failed,10.97,2025-04-29T21:16:00,29/04/25
C0324,A014,O3,L1476,no_answer,11.44,2025-04-29T15:05:00,29/04/25
C0325,A014,O3,L1330,connected,7.83,2025-04-29T02:57:00,29/04/25
C0326,A014,O3,L1325,no_answer,11.72,2025-04-29T13:00:00,29/04/25
C0327,A014,O3,L1847,no_answer,13.17,2025-04-29T13:36:00,29/04/25
C0328,A014,O3,L1320,no_answer,11.14,2025-04-29T10:40:00,29/04/25
C0329,A014,O3,L1762,failed,5.46,2025-04-29T04:26:00,29/04/25
C0330,A014,O3,L1290,no_answer,0.64,2025-04-29T17:59:00,29/04/25
C0331,A014,O3,L1470,completed,12.36,2025-04-29T10:41:00,29/04/25
C0332,A014,O3,L1117,no_answer,1.99,2025-04-29T00:42:00,29/04/25
C0333,A014,O3,L1536,completed,3.32,2025-04-29T13:30:00,29/04/25
C0334,A014,O3,L1370,completed,4.27,2025-04-29T12:22:00,29/04/25
C0335,A014,O3,L1692,connected,5.4,2025-04-29T15:09:00,29/04/25
C0336,A014,O3,L1405,failed,7.43,2025-04-29T08:02:00,29/04/25
C0337,A014,O3,L1064,completed,5.68,2025-04-29T17:03:00,29/04/25
C0338,A014,O3,L1440,connected,14.42,2025-04-29T18:37:00,29/04/25
C0339,A014,O3,L1843,completed,12.12,2025-04-29T04:16:00,29/04/25
C0340,A014,O3,L1932,completed,5.64,2025-04-29T04:14:00,29/04/25
C0341,A014,O3,L1509,failed,1.64,2025-04-29T21:54:00,29/04/25
C0342,A014,O3,L1985,connected,1.46,2025-04-29T11:10:00,29/04/25
C0343,A014,O3,L1420,no_answer,1.61,2025-04-29T02:07:00,29/04/25
